department_id,semester,class_name,class_type,program
1,1,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ I (ΑΠ),ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,1,ΦΥΣΙΚΗ,ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,1,ΦΥΣΙΚΗ (ΑΠ),ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,1,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,1,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΠ),ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,1,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ,ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,1,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ,ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,1,ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ,ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,1,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ (ΑΠ),ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,1,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ I,ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,1,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΠ),ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,1,ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ (ΑΠ),ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,3,ΗΛΕΚΤΡΟΝΙΚΗ,ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,3,ΑΛΓΟΡΙΘΜΟΙ ΚΑΙ ΠΟΛΥΠΛΟΚΟΤΗΤΑ,ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,3,ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ I (ΑΠ),ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,3,ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ,ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,3,ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ (ΑΠ),ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,3,ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ,ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,3,ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ I,ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,3,ΗΛΕΚΤΡΟΝΙΚΗ (ΑΠ),ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,3,ΑΛΓΟΡΙΘΜΟΙ ΚΑΙ ΠΟΛΥΠΛΟΚΟΤΗΤΑ (ΑΠ),ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,3,ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΠ),ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
1,3,ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ I,ΘΕΩΡΙΑ,ΠΡΟΠΤΥΧΙΑΚΟ
