class_team,class_name,teacher,classroom,start_time,end_time,day
1,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΚΑΝΤΖΑΒΕΛΟΥ,ΑΜΦΙΘΕΑΤΡΟ,12:00,13:00,1
1,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΒΟΓΙΑΤΖΗΣ,ΑΜΦΙΘΕΑΤΡΟ,12:00,13:00,1
1,ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ,ΦΑΤΟΥΡΟΣ,ΑΜΦΙΘΕΑΤΡΟ,15:00,17:00,1
1,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ I,ΦΑΤΟΥΡΟΣ,ΑΜΦΙΘΕΑΤΡΟ,18:00,21:00,1
1,ΦΥΣΙΚΗ,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ,ΑΜΦΙΘΕΑΤΡΟ,9:00,11:00,2
1,ΦΥΣΙΚΗ (ΑΠ),ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ,ΑΜΦΙΘΕΑΤΡΟ,11:00,13:00,2
1,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ I (ΑΠ),ΦΑΤΟΥΡΟΣ,ΑΜΦΙΘΕΑΤΡΟ,13:00,15:00,2
1,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ,ΒΑΣΙΛΑΣ,ΑΜΦΙΘΕΑΤΡΟ,9:00,12:00,3
1,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ,ΜΠΑΡΛΑΣ,ΑΜΦΙΘΕΑΤΡΟ,12:00,14:00,3
1,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΠ),ΜΑΜΑΛΗΣ,ΑΜΦΙΘΕΑΤΡΟ,12:00,14:00,4
1,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΠ),ΜΑΜΑΛΗΣ,ΑΜΦΙΘΕΑΤΡΟ,9:00,11:00,5
1,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ (ΑΠ),ΜΠΑΡΛΑΣ,ΑΜΦΙΘΕΑΤΡΟ,11:00,13:00,5
1,ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ (ΑΠ),ΦΑΤΟΥΡΟΣ,ΑΜΦΙΘΕΑΤΡΟ,13:00,15:00,5
2,ΦΥΣΙΚΗ,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ,ΑΜΦΙΘΕΑΤΡΟ,9:00,11:00,2
2,ΦΥΣΙΚΗ (ΑΠ),ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ,ΑΜΦΙΘΕΑΤΡΟ,11:00,13:00,2
2,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ, ΚΑΝΤΖΑΒΕΛΟΥ,113,9:00,12:00,3
2,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΒΟΓΙΑΤΖΗΣ,113,9:00,12:00,3
2,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΠ),ΜΠΟΓΡΗΣ,114,14:00,16:00,3
2,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ,ΠΑΝΤΖΙΟΥ,114,16:00,18:00,3
2,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ,ΖΑΧΑΡΗΣ,ΑΜΦΙΘΕΑΤΡΟ,9:00,12:00,4
2,ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ,ΜΠΑΡΛΑΣ,113,13:00,15:00,4
2,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ (ΑΠ),ΠΑΝΤΖΙΟΥ,113,15:00,17:00,4
2,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΠ),ΜΠΟΓΡΗΣ,114,11:00,13:00,5
2,ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ (ΑΠ),ΜΠΑΡΛΑΣ,113,14:00,16:00,5
1,ΗΛΕΚΤΡΟΝΙΚΗ,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ,ΑΜΦΙΘΕΑΤΡΟ,9:00,12:00,1
1,ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ I,ΜΠΟΓΡΗΣ,114,12:00,14:00,2
1,ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ I (ΑΠ),ΜΠΟΓΡΗΣ,114,14:00,15:00,2
